Subject,Condition 1,Reaction Time,Condition 2,Reaction Time
S001,Congruent,0.7504801,Incongruent,0.8517637
S001,Congruent,0.8187662,Incongruent,0.7683628
S001,Congruent,0.6006885,Incongruent,0.8513431
S001,Congruent,0.8678745,Incongruent,1.2185361
S001,Congruent,0.7342541,Incongruent,1.0180183
S001,Congruent,0.7869938,Incongruent,0.9008416
S001,Congruent,0.6167037,Incongruent,1.2186642
S001,Congruent,0.717771,Incongruent,1.2011471
S001,Congruent,0.8176746,Incongruent,0.8682629
S001,Congruent,0.6674292,Incongruent,0.8846974
S001,Congruent,0.735653,Incongruent,0.8341437
S001,Congruent,0.7515416,Incongruent,1.4502846
S001,Congruent,0.7529448,Incongruent,0.6666994
S001,Congruent,0.9356888,Incongruent,0.7989655
S001,Congruent,0.7843418,Incongruent,nan
S001,Congruent,0.6174043,Incongruent,0.9027189
S001,Congruent,0.6531043,Incongruent,1.251828
S001,Congruent,0.7359093,Incongruent,0.8023521
S001,Congruent,0.6860575,Incongruent,0.953011
S001,Congruent,0.6185661,Incongruent,0.7856959
S001,Congruent,0.7356255,Incongruent,1.0510467
S001,Congruent,0.7192073,Incongruent,1.0687686
S001,Congruent,0.883943,Incongruent,0.8179835
S001,Congruent,0.6862715,Incongruent,0.9854231
S001,Congruent,0.7183185,Incongruent,0.7517047
S001,Congruent,0.8350316,Incongruent,1.1361777
S001,Congruent,0.7864504,Incongruent,nan
S001,Congruent,0.752955,Incongruent,1.268837
S001,Congruent,0.7516339,Incongruent,1.0521796
S001,Congruent,0.7525827,Incongruent,1.167236
S001,Congruent,0.6826855,Incongruent,1.1356862
S001,Congruent,0.9171308,Incongruent,0.7339057
S001,Congruent,0.7520392,Incongruent,1.2347124
S001,Congruent,0.7834698,Incongruent,0.7343192
S001,Congruent,0.6693023,Incongruent,1.0513483
S001,Congruent,0.7024992,Incongruent,0.9679083
S001,Congruent,0.7353079,Incongruent,1.2178596
S001,Congruent,0.7861932,Incongruent,1.2175141
S001,Congruent,0.6191969,Incongruent,0.885637
S001,Congruent,0.7856587,Incongruent,0.9675449
S001,Congruent,0.8030954,Incongruent,0.96807
S001,Congruent,0.9175728,Incongruent,1.2022837
S001,Congruent,1.1527952,Incongruent,1.1023073
S001,Congruent,0.7676381,Incongruent,1.284506
S001,Congruent,0.6846178,Incongruent,1.3017496
S001,Congruent,0.7696014,Incongruent,1.26964
S001,Congruent,0.7357301,Incongruent,0.7343225
S001,Congruent,1.0526426,Incongruent,0.8357606
S001,Congruent,0.8519487,Incongruent,0.7834864
S001,Congruent,0.7682491,Incongruent,0.7193487
S001,Congruent,0.7684789,Incongruent,1.3849172
S001,Congruent,0.8028473,Incongruent,1.0187007
S001,Congruent,0.9181257,Incongruent,1.2852559
S001,Congruent,0.7030962,Incongruent,1.0017783
S001,Congruent,1.1852069,Incongruent,1.3684395
S001,Congruent,nan,Incongruent,0.9016377
S001,Congruent,0.65211,Incongruent,1.2686623
S001,Congruent,0.7178765,Incongruent,0.9012383
S001,Congruent,0.7507301,Incongruent,1.0691457
S001,Congruent,0.7019473,Incongruent,1.1514983
S002,Congruent,1.0158511,Incongruent,nan
S002,Congruent,0.9184596,Incongruent,1.0188261
S002,Congruent,0.9344501,Incongruent,1.2698429
S002,Congruent,0.7678393,Incongruent,0.834552
S002,Congruent,1.001601,Incongruent,1.2352193
S002,Congruent,1.1022717,Incongruent,0.7688185
S002,Congruent,0.7337329,Incongruent,1.068071
S002,Congruent,0.9675288,Incongruent,1.3834304
S002,Congruent,0.8168634,Incongruent,1.1511094
S002,Congruent,0.9032326,Incongruent,1.2343044
S002,Congruent,0.9521633,Incongruent,nan
S002,Congruent,0.9180245,Incongruent,1.2847059
S002,Congruent,0.7672244,Incongruent,1.3020473
S002,Congruent,0.7854352,Incongruent,1.2508104
S002,Congruent,0.9527647,Incongruent,0.7508868
S002,Congruent,0.835328,Incongruent,0.7688397
S002,Congruent,1.0519446,Incongruent,1.2188845
S002,Congruent,0.8520099,Incongruent,1.301045
S002,Congruent,0.7672622,Incongruent,0.6507123
S002,Congruent,1.0508378,Incongruent,0.8337858
S002,Congruent,0.7027798,Incongruent,0.9524169
S002,Congruent,0.6851983,Incongruent,0.9517667
S002,Congruent,0.8870575,Incongruent,0.8847914
S002,Congruent,0.8344987,Incongruent,0.8352382
S002,Congruent,0.784691,Incongruent,0.8680182
S002,Congruent,0.8009034,Incongruent,0.734762
S002,Congruent,0.7849825,Incongruent,1.4175479
S002,Congruent,1.017291,Incongruent,1.1173503
S002,Congruent,0.8184147,Incongruent,1.0170823
S002,Congruent,1.0842964,Incongruent,1.4009298
S002,Congruent,0.834895,Incongruent,1.0501757
S002,Congruent,1.202275,Incongruent,0.7834582
S002,Congruent,0.8186948,Incongruent,0.9352629
S002,Congruent,0.7679837,Incongruent,1.2701788
S002,Congruent,1.2351003,Incongruent,1.1683949
S002,Congruent,0.7530629,Incongruent,0.7348375
S002,Congruent,0.9351374,Incongruent,0.7521109
S002,Congruent,0.9180654,Incongruent,0.8685879
S002,Congruent,0.9522957,Incongruent,0.9339616
S002,Congruent,0.8172195,Incongruent,1.1198144
S002,Congruent,0.8855338,Incongruent,1.3181893
S002,Congruent,0.7845948,Incongruent,1.2510069
S002,Congruent,0.8691117,Incongruent,0.8024537
S002,Congruent,1.1180383,Incongruent,1.3025242
S002,Congruent,0.9172726,Incongruent,0.8501692
S002,Congruent,0.7842122,Incongruent,1.3342317
S002,Congruent,0.7836538,Incongruent,1.0169283
S002,Congruent,1.2022318,Incongruent,0.9700699
S002,Congruent,0.8679758,Incongruent,1.2516435
S002,Congruent,0.8167683,Incongruent,1.4174783
S002,Congruent,0.835168,Incongruent,0.98446
S002,Congruent,0.8019239,Incongruent,0.8840661
S002,Congruent,1.0674451,Incongruent,0.7356037
S002,Congruent,1.1011141,Incongruent,0.7847707
S002,Congruent,0.9849859,Incongruent,0.9014251
S002,Congruent,0.6854383,Incongruent,0.8673185
S002,Congruent,1.0526268,Incongruent,0.784595
S002,Congruent,0.652466,Incongruent,0.9844383
S002,Congruent,0.9009677,Incongruent,nan
S002,Congruent,0.8351227,Incongruent,1.3847597
S003,Congruent,0.8825114,Incongruent,0.7848022
S003,Congruent,1.0674459,Incongruent,1.3840617
S003,Congruent,nan,Incongruent,1.0163441
S003,Congruent,1.484395,Incongruent,1.3518698
S003,Congruent,1.2351782,Incongruent,1.1684099
S003,Congruent,nan,Incongruent,0.9509668
S003,Congruent,0.9177502,Incongruent,0.9849919
S003,Congruent,1.3685559,Incongruent,1.2344708
S003,Congruent,0.9347642,Incongruent,0.8338513
S003,Congruent,0.8849509,Incongruent,1.0679664
S003,Congruent,0.7008187,Incongruent,1.1531422
S003,Congruent,1.1340966,Incongruent,1.1860728
S003,Congruent,0.8696,Incongruent,0.7510461
S003,Congruent,1.4674089,Incongruent,1.3350972
S003,Congruent,1.0677051,Incongruent,nan
S003,Congruent,0.8680446,Incongruent,1.1006783
S003,Congruent,1.068204,Incongruent,0.8502787
S003,Congruent,0.9180606,Incongruent,0.9681619
S003,Congruent,0.7866536,Incongruent,1.0522215
S003,Congruent,0.7032919,Incongruent,0.9848168
S003,Congruent,1.050524,Incongruent,1.4515414
S003,Congruent,0.9848481,Incongruent,0.834827
S003,Congruent,0.7676319,Incongruent,0.9513735
S003,Congruent,1.3346498,Incongruent,0.7689245
S003,Congruent,1.3347244,Incongruent,1.2022339
S003,Congruent,1.0342566,Incongruent,0.785733
S003,Congruent,0.8522899,Incongruent,1.0839721
S003,Congruent,0.6509834,Incongruent,0.8344541
S003,Congruent,0.9832525,Incongruent,0.9845273
S003,Congruent,1.2515247,Incongruent,1.485759
S003,Congruent,0.8682805,Incongruent,0.8858472
S003,Congruent,1.1022826,Incongruent,0.9853198
S003,Congruent,1.0679929,Incongruent,1.0176482
S003,Congruent,0.7678369,Incongruent,0.7685343
S003,Congruent,0.9348245,Incongruent,1.401638
S003,Congruent,0.7178674,Incongruent,1.3181289
S003,Congruent,0.7689619,Incongruent,0.8842467
S003,Congruent,0.8842766,Incongruent,0.9679802
S003,Congruent,0.7686996,Incongruent,1.0350338
S003,Congruent,0.8853253,Incongruent,0.8359917
S003,Congruent,1.1346679,Incongruent,0.7182438
S003,Congruent,1.1869557,Incongruent,0.8842815
S003,Congruent,1.0672986,Incongruent,0.6850175
S003,Congruent,0.7690136,Incongruent,0.7680092
S003,Congruent,0.7856554,Incongruent,0.8175995
S003,Congruent,0.8027883,Incongruent,0.834311
S003,Congruent,0.817572,Incongruent,0.7509493
S003,Congruent,0.9010906,Incongruent,1.0340691
S003,Congruent,0.8682161,Incongruent,1.0844898
S003,Congruent,0.7669158,Incongruent,0.800167
S003,Congruent,0.8359045,Incongruent,0.9183421
S003,Congruent,0.6861457,Incongruent,0.6018095
S003,Congruent,0.9506066,Incongruent,0.8017903
S003,Congruent,0.6512096,Incongruent,0.867264
S003,Congruent,0.834202,Incongruent,0.7830781
S003,Congruent,1.201586,Incongruent,1.0340349
S003,Congruent,0.8506699,Incongruent,0.751349
S003,Congruent,0.6687014,Incongruent,0.868389
S003,Congruent,0.8174038,Incongruent,0.7345222
S003,Congruent,0.7523058,Incongruent,0.6845992
S004,Congruent,0.8105838,Incongruent,1.1032858
S004,Congruent,0.7856752,Incongruent,1.0359987
S004,Congruent,0.8345271,Incongruent,1.1843903
S004,Congruent,0.7193321,Incongruent,1.0519393
S004,Congruent,0.7500442,Incongruent,0.7349587
S004,Congruent,0.787601,Incongruent,1.1516672
S004,Congruent,0.8194077,Incongruent,0.7181539
S004,Congruent,0.7175877,Incongruent,0.7513187
S004,Congruent,0.6520405,Incongruent,1.0006628
S004,Congruent,0.8014502,Incongruent,0.8011443
S004,Congruent,0.7178646,Incongruent,0.9364942
S004,Congruent,0.8681678,Incongruent,1.0183391
S004,Congruent,0.8338627,Incongruent,0.6342305
S004,Congruent,0.6520496,Incongruent,0.7180862
S004,Congruent,0.9178537,Incongruent,0.8010033
S004,Congruent,0.8173176,Incongruent,0.70352
S004,Congruent,0.718651,Incongruent,0.6673489
S004,Congruent,0.7658989,Incongruent,0.7178843
S004,Congruent,0.651321,Incongruent,0.9017629
S004,Congruent,0.9351373,Incongruent,0.7015114
S004,Congruent,0.8185722,Incongruent,0.7020604
S004,Congruent,0.7015484,Incongruent,0.6847169
S004,Congruent,0.7343205,Incongruent,1.1524178
S004,Congruent,0.7502699,Incongruent,0.7515728
S004,Congruent,0.5020707,Incongruent,0.901012
S004,Congruent,0.9679915,Incongruent,0.7866501
S004,Congruent,0.667441,Incongruent,0.7355415
S004,Congruent,0.7011551,Incongruent,0.7020475
S004,Congruent,0.6682765,Incongruent,1.1343553
S004,Congruent,0.7026796,Incongruent,0.7520285
S004,Congruent,0.96683,Incongruent,1.2848712
S004,Congruent,0.6515791,Incongruent,0.7364146
S004,Congruent,0.5009954,Incongruent,0.718203
S004,Congruent,0.6526762,Incongruent,0.8529172
S004,Congruent,0.5689697,Incongruent,0.7329708
S004,Congruent,0.7347807,Incongruent,0.8007888
S004,Congruent,0.7020604,Incongruent,0.7016334
S004,Congruent,0.8849059,Incongruent,0.6504444
S004,Congruent,0.851706,Incongruent,0.7347273
S004,Congruent,0.7347742,Incongruent,0.6525143
S004,Congruent,0.8333656,Incongruent,0.7525922
S004,Congruent,0.6523301,Incongruent,0.8335643
S004,Congruent,0.7010805,Incongruent,0.6845804
S004,Congruent,0.7016068,Incongruent,0.735386
S004,Congruent,0.7016298,Incongruent,0.8850329
S004,Congruent,0.8852671,Incongruent,0.7858193
S004,Congruent,0.701995,Incongruent,0.6847083
S004,Congruent,0.6672551,Incongruent,0.7016744
S004,Congruent,0.6855979,Incongruent,1.1509192
S004,Congruent,0.600914,Incongruent,1.0848961
S004,Congruent,0.7352841,Incongruent,nan
S004,Congruent,0.7685666,Incongruent,0.6848223
S004,Congruent,0.7672357,Incongruent,0.7343305
S004,Congruent,0.6353249,Incongruent,1.0520916
S004,Congruent,0.6348596,Incongruent,0.7005443
S004,Congruent,0.9681894,Incongruent,0.8348261
S004,Congruent,0.6346756,Incongruent,0.800755
S004,Congruent,0.6348257,Incongruent,0.6688126
S004,Congruent,0.6668256,Incongruent,0.7027662
S004,Congruent,0.7668315,Incongruent,0.9024022
S005,Congruent,1.0975349,Incongruent,0.8008429
S005,Congruent,0.9501448,Incongruent,0.8358551
S005,Congruent,0.717313,Incongruent,0.7850951
S005,Congruent,0.9855619,Incongruent,0.7012712
S005,Congruent,0.835668,Incongruent,1.0012906
S005,Congruent,1.4005286,Incongruent,0.8852743
S005,Congruent,nan,Incongruent,0.9838665
S005,Congruent,nan,Incongruent,0.9174496
S005,Congruent,1.4670742,Incongruent,1.1508373
S005,Congruent,1.2177263,Incongruent,1.0012618
S005,Congruent,0.8507789,Incongruent,0.9344403
S005,Congruent,0.918761,Incongruent,nan
S005,Congruent,0.8839907,Incongruent,nan
S005,Congruent,0.800961,Incongruent,0.7690302
S005,Congruent,nan,Incongruent,1.3506007
S005,Congruent,1.234167,Incongruent,1.4185265
S005,Congruent,0.8667807,Incongruent,1.2516454
S005,Congruent,1.3516595,Incongruent,nan
S005,Congruent,nan,Incongruent,nan
S005,Congruent,1.4845894,Incongruent,1.0189003
S005,Congruent,1.3834417,Incongruent,0.8329221
S005,Congruent,1.4855052,Incongruent,0.9691097
S005,Congruent,0.716792,Incongruent,1.3342729
S005,Congruent,1.3337568,Incongruent,0.8204025
S005,Congruent,0.7181301,Incongruent,0.6687316
S005,Congruent,0.9019727,Incongruent,0.768143
S005,Congruent,0.9205643,Incongruent,0.8850422
S005,Congruent,0.9358274,Incongruent,1.3672836
S005,Congruent,nan,Incongruent,0.9510614
S005,Congruent,nan,Incongruent,nan
S005,Congruent,0.9675076,Incongruent,1.2352245
S005,Congruent,1.0528002,Incongruent,1.4205434
S005,Congruent,1.1188141,Incongruent,0.8356672
S005,Congruent,nan,Incongruent,1.0324514
S005,Congruent,nan,Incongruent,1.1686245
S005,Congruent,1.1352503,Incongruent,0.8505867
S005,Congruent,0.7339507,Incongruent,0.9174485
S005,Congruent,nan,Incongruent,0.8344688
S005,Congruent,nan,Incongruent,1.1174347
S005,Congruent,nan,Incongruent,0.7175917
S005,Congruent,0.951013,Incongruent,nan
S005,Congruent,nan,Incongruent,0.785304
S005,Congruent,1.367865,Incongruent,0.7670549
S005,Congruent,1.0684972,Incongruent,1.0340966
S005,Congruent,nan,Incongruent,0.7020115
S005,Congruent,1.2513055,Incongruent,0.7677821
S005,Congruent,1.4854343,Incongruent,0.668886
S005,Congruent,nan,Incongruent,1.1338886
S005,Congruent,nan,Incongruent,nan
S005,Congruent,nan,Incongruent,nan
S005,Congruent,1.0521255,Incongruent,1.0830994
S005,Congruent,nan,Incongruent,1.40183
S005,Congruent,nan,Incongruent,0.83446
S005,Congruent,nan,Incongruent,0.8160371
S005,Congruent,nan,Incongruent,0.7682617
S005,Congruent,1.1508947,Incongruent,0.6501731
S005,Congruent,nan,Incongruent,0.9347593
S005,Congruent,1.1674724,Incongruent,nan
S005,Congruent,nan,Incongruent,1.2683959
S005,Congruent,1.0184843,Incongruent,0.7851425
